Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Escherichia phage HK578	UP000010371	1147142	60
Escherichia phage YDC107_1	UP000244186	2056767	60
Escherichia phage vB_EcoM_EC001	UP000515779	2739754	269
Escherichia phage LL11	UP000261814	2315628	55
Escherichia virus Lambda_2G7b	UP000424499	2686053	66
Escherichia phage vB_EcoM_WFK	UP000299923	2508198	262
Escherichia virus Lambda	UP000001711	10710	66
Escherichia phage DN1	UP000516169	2024003	48
Escherichia phage GER2	UP000241263	2070178	86
Escherichia phage RB16	UP000001091	2681599	270
Escherichia phage RB69	UP000000876	12353	273
Escherichia phage Lambda_ev017	UP000423147	2742949	73
Escherichia phage Penshu1	UP000324737	2591101	54
Escherichia phage P13803	UP000246896	1429230	79
Escherichia phage SH2026Stx1	UP000246469	2108115	79
Escherichia phage vB_EcoP_ACG-C91	UP000009213	1141139	56
Escherichia phage LL5	UP000251526	2233992	88
Escherichia phage vB_EcoS_fTaEco01	UP000516001	2762430	73
Escherichia phage slur05	UP000204146	1720498	58
Escherichia phage Rac-SA53	UP000223669	1759531	70
Escherichia phage PGN6866	UP000509352	2714736	41
Escherichia phage phi467	UP000246259	1774508	54
Escherichia phage PHB10	UP000291245	2530035	76
Escherichia phage D108	UP000000320	665033	57
Escherichia phage PGT2	UP000240674	2047782	46
Escherichia phage vB_EcoM_Ozark	UP000515221	2750851	268
Escherichia virus P1	UP000008091	10678	91
Escherichia phage K1-5	UP000002105	2681604	52
Escherichia phage EcSzw-2	UP000290133	2419741	130
Escherichia phage PTXU04	UP000307461	2508206	92
Escherichia phage APC_JM3.2	UP000231327	2045361	57
Escherichia phage CJ19	UP000502897	2723904	79
Escherichia phage RB49	UP000000878	50948	277
Escherichia phage ESSI2_ev129	UP000423819	2695848	42
Escherichia phage EcoDS1	UP000000617	532075	53
Escherichia phage VB_EcoS-Golestan	UP000240477	2047801	78
Escherichia virus P88-4B11	UP000422671	2844224	56
Escherichia phage YZ1	UP000240719	2079534	41
Escherichia phage vB_EcoM_VR20	UP000030716	1567027	286
Escherichia phage Skure	UP000297108	2562359	92
Escherichia phage mEpX1	UP000010399	1147153	66
Stx2-converting phage 1717	UP000001042	563769	77
Escherichia phage Sortsne	UP000297046	2562456	62
Escherichia phage HK544	UP000010374	432201	63
Escherichia phage phiEB49	UP000000296	1048207	74
Enterobacteria phage HK620	UP000000725	155148	58
Enterobacteria phage T3	UP000002092	10759	55
Escherichia phage JES2013	UP000014998	1327956	220
Escherichia phage BRET	UP000278885	2488948	88
Escherichia phage RB3	UP000029934	31533	273
Escherichia phage vB_EcoS_AKS96	UP000028461	1416031	74
Escherichia phage ECML-117	UP000002902	1204521	94
Escherichia virus LS2	UP000510920	2743776	44
Escherichia phage vB_EcoM_VR7	UP000007430	700939	293
Escherichia virus ECG4	UP000325949	2601676	43
Escherichia phage HK629	UP000203385	1147148	69
Escherichia phage DY1	UP000515966	2762279	53
Escherichia phage JS98	UP000000786	293178	266
Escherichia phage G AB-2017	UP000223204	1933113	68
Escherichia phage C130_2	UP000266204	2234093	59
Escherichia phage EcS1	UP000250157	2083276	295
Escherichia phage Lambda_ev207	UP000426334	2742956	70
Escherichia phage P1723	UP000509360	2736274	47
Escherichia phage J8-65	UP000029367	1536597	47
Escherichia phage LAMP	UP000240724	2065191	95
Escherichia phage damhaus	UP000464073	2696389	80
Escherichia phage myPSH2311	UP000242358	2108113	87
Escherichia phage slur01	UP000207648	1720493	90
Escherichia phage e4/1c	UP000024438	1495286	72
Escherichia virus Lambda_2G7a	UP000425433	2686052	67
Escherichia phage vB_EcoM_ECO1230-10	UP000002374	669875	56
Escherichia phage vB_EcoP_PhAPEC5	UP000027383	1395983	83
Escherichia phage vB_EcoM_IME392	UP000263419	2301649	85
Escherichia phage Skarpretter	UP000279721	2488654	63
Escherichia virus Lambda_4C10	UP000426646	2686057	69
Escherichia phage vB_EcoS_NBD2	UP000202254	1852563	87
2681617	UP000002576	2681617	60
Escherichia phage phiV10	UP000006651	343516	55
Escherichia virus Mu	UP000002611	10677	55
Escherichia phage phi191	UP000029939	1458706	87
Escherichia phage vB_EcoM_APEC	UP000663390	2759186	52
Escherichia phage sortregn	UP000464588	2696446	53
Escherichia phage ZG49	UP000223018	1897641	44
Escherichia virus T1	UP000001156	1921008	79
Escherichia phage vB_EcoS_ESCO41	UP000222601	2496547	79
Escherichia phage vB_EcoM-12474III	UP000342399	2576484	44
Escherichia phage P AB-2017	UP000223569	1933115	62
Escherichia phage Lambda_ev099	UP000426009	2742953	73
Escherichia phage mellemsur	UP000464219	2696418	48
Escherichia phage SUSP1	UP000202424	1718606	138
Escherichia phage P694	UP000032688	1572754	50
Escherichia phage K30	UP000000489	1041524	49
Escherichia phage mEpX2	UP000010401	1147154	67
Escherichia phage vB_Eco_mar001J1	UP000310467	2419760	78
Escherichia virus 186	UP000000369	29252	41
Escherichia phage SSL-2009a	UP000001804	2681619	67
Escherichia phage 933W	UP000002135	10730	80
Escherichia phage vB_EcoS_MM01	UP000307356	2508188	68
Escherichia phage RCS47	UP000246402	1590550	122
Escherichia phage ST31	UP000222018	1983789	45
Escherichia phage Ebrios	UP000240985	2099356	53
Escherichia phage phi G17	UP000250998	2234086	78
Enterobacteria phage DT571/2	UP000031089	1567007	133
Escherichia phage TL-2011c	UP000007859	1124655	72
Escherichia phage Lidtsur	UP000297092	2562235	55
Escherichia phage FV3	UP000009052	1131317	218
Escherichia phage KBNP1711	UP000019301	1436889	126
Escherichia phage RDN8.1	UP000500739	2600100	49
Escherichia phage HK633	UP000010370	1147147	67
Escherichia phage JSS1	UP000221776	1897443	45
Escherichia virus Lambda_2B8	UP000422537	2686050	66
Escherichia phage sortkaff	UP000466160	2696445	61
Escherichia phage PGN829.1	UP000264229	2315696	84
Escherichia phage phiEcoM-GJ1	UP000002080	451705	75
Escherichia phage P2	UP000001757	2681594	46
Escherichia phage Shashou	UP000321508	2580403	77
Escherichia phage PA28	UP000225471	1660368	90
Enterobacter phage CC31	UP000008725	709484	279
Escherichia phage T7	UP000000840	10760	57
Enterobacteria phage 9g	UP000019745	1468411	71
Escherichia phage Eco_BIFF	UP000250449	2175169	76
Escherichia phage IME11	UP000001223	1239384	91
Stx2-converting phage 86	UP000000913	379329	80
Escherichia phage HK446	UP000010376	1147145	60
Escherichia phage FEC19	UP000268320	2315486	93
Escherichia phage Halfdan	UP000252726	2234092	56
Escherichia phage Pisces	UP000322031	2591102	49
Escherichia phage ST20	UP000224880	2569975	72
Escherichia phage pro483	UP000204159	1649240	43
Escherichia phage 1720a-02	UP000015081	1115653	68
Escherichia phage ZCEC5	UP000291068	2530021	72
Escherichia phage phAPEC8	UP000009369	1229753	269
Escherichia phage 2H10	UP000426455	2847058	58
Escherichia phage pro147	UP000202111	1649239	44
Escherichia phage vB_EcoM-Ro157c2YLVW	UP000298751	2178932	86
Escherichia phage aldrigsur	UP000464732	2696378	54
Escherichia phage vB_Eco_SLUR26	UP000270799	2029173	92
Escherichia phage vB_EcoS_XY1	UP000502302	2681674	76
Escherichia phage Fraca	UP000424329	2562643	65
Escherichia phage NJ01	UP000243552	1237159	109
Escherichia phage ESSI2_ev040	UP000423227	2695849	41
Escherichia phage ECBP2	UP000007331	1604355	120
Escherichia virus N15	UP000002132	40631	60
Escherichia phage vB_EcoS_HSE2	UP000294812	2053690	55
Escherichia phage 172-1	UP000032685	1598146	130
Escherichia virus TLS	UP000006550	245685	87
Escherichia phage HK639	UP000008847	906669	76
Escherichia phage vB_EcoP_Kapi1	UP000516798	2746235	68
Escherichia phage ECML-134	UP000002901	1204522	270
Escherichia phage Mt1B1_P10	UP000516408	2743960	54
Escherichia phage vB_EcoS_HdK1	UP000305937	2508190	94
Escherichia virus LS3	UP000510880	2743777	55
Escherichia phage vB_EcoM_VR25	UP000030717	1567028	293
Escherichia phage vB_EcoM_011D4	UP000514831	2735300	273
Escherichia phage JLK-2012	UP000226124	1147722	79
Escherichia phage vB_EcoP_G7C	UP000008899	1054461	79
Escherichia phage HK75	UP000008848	906668	58
Escherichia phage K1F	UP000001530	344021	42
Escherichia phage vB_EcoS_FFH_1	UP000026908	1446489	156
Escherichia phage vB_EcoP_PhAPEC7	UP000027389	1391223	83
Escherichia phage SRT7	UP000252591	2268589	47
Escherichia phage vB_EcoS Sa179lw	UP000240398	2126819	86
