Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Bacillus phage Wes44	UP000260494	2283012	54
Bacillus phage vB_BpuM-BpSp	UP000224784	1739968	318
Bacillus phage phi4B1	UP000203986	1643324	56
Bacillus phage BSP38	UP000260425	2283013	254
Bacillus phage vB_BceM-HSE3	UP000258373	2170705	144
Bacillus phage Pascal	UP000030208	1540092	50
Bacillus phage Stills	UP000033016	1610833	110
Bacillus phage PBC5	UP000222030	1675030	93
Bacillus phage 049ML001	UP000326995	2601660	82
Bacillus phage DLc1	UP000593635	2777318	50
Bacillus phage vB_BpsS-36	UP000275945	2419622	67
Bacillus phage JL	UP000015092	1296655	218
Bacillus phage phIS3501	UP000007858	1124578	51
Bacillus phage Smudge	UP000221160	1852566	290
Bacillus phage SP-15	UP000203261	1792032	317
Bacillus phage BCASJ1c	UP000001585	294382	58
Bacillus phage Eldridge	UP000204502	1776293	231
Bacillus phage vB_BcM_Sam112	UP000343370	2663324	75
Bacillus phage Anath	UP000241367	2108114	76
Bacillus phage Pony	UP000017659	1406789	48
Bacillus phage Eoghan	UP000011287	2880542	74
Bacillus phage DK1	UP000289624	2500808	49
Bacillus phage Grass	UP000017648	1406785	241
Bacillus phage BCP78	UP000007863	1126950	227
Bacillus phage Gamma	UP000001533	347962	53
Bacillus phage CampHawk	UP000017646	1406783	201
Bacillus phage QCM8	UP000223716	1909403	273
Bacillus phage 000TH008	UP000595544	2801830	258
Bacillus phage 049ML003	UP000327065	2601661	81
Bacillus phage vB_BsuM-Goe3	UP000221795	1933063	236
Bacillus virus Wbeta	UP000002100	359961	53
Bacillus phage vB_BtS_B83	UP000302244	2565501	71
Bacillus phage Bastille	UP000006285	57477	273
Bacillus phage vB_BspS_SplendidRed	UP000324040	2591379	76
Bacillus phage 276BB001	UP000326666	2601664	80
Bacillus phage phiNIT1	UP000014701	207656	211
Bacillus phage Carmen17	UP000241941	2072797	51
Bacillus phage Chotacabras	UP000324715	2601669	284
Bacillus phage Aurora	UP000201440	1874000	40
Bacillus phage 0305phi8-36	UP000002413	458639	239
Bacillus phage BC-T25	UP000323059	2596657	236
Bacillus phage BCD7	UP000006298	1136534	140
Bacillus phage TsarBomba	UP000204602	1690456	234
Bacillus phage vB_BthS-HD29phi	UP000327075	2593661	49
Bacillus phage 1	UP000002299	2785079	54
Bacillus phage phi4J1	UP000203057	1643326	67
Bacillus phage SP-10	UP000207621	941058	236
Bacillus phage vB_BceM_WH1	UP000595525	2795294	300
Bacillus phage vB_BceM_Bc431v3	UP000011865	1195072	238
Bacillus phage YungSlug	UP000505024	2736257	227
Bacillus phage vB_BtS_BMBtp3	UP000031093	1445809	76
Bacillus phage F16Ba	UP000595930	2767194	53
Bacillus phage Pavlov	UP000202223	1675598	50
Bacillus phage BC01	UP000262827	2039884	239
Bacillus phage vB_BveM-Goe7	UP000318125	2593639	240
Bacillus phage vB_BthS_BMBphi	UP000287382	2498843	79
Bacillus phage Waukesha92	UP000027384	1510440	72
Bacillus phage PfEFR-5	UP000203594	1868599	65
Bacillus phage phiS58	UP000223661	1643327	79
