Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Mycobacterium phage Herbertwm	UP000327117	2601640	88
Mycobacterium phage prophiGD04-1	UP000663275	2813230	78
Mycobacterium phage prophiGD44-1	UP000662930	2813265	75
Mycobacterium phage Onyinye	UP000463915	2686235	107
Mycobacterium phage prophiGD53-3	UP000663548	2813268	71
Mycobacterium phage 32HC	UP000201080	1445729	86
Mycobacterium phage phiGD57-1	UP000594896	2794957	72
Mycobacterium phage Dylan	UP000015923	1340831	121
Mycobacterium phage Wiks	UP000221960	2027904	100
Mycobacterium phage Y10	UP000250049	2072010	91
Mycobacterium phage DD5	UP000001209	540064	87
Mycobacterium phage Mova	UP000516188	2767562	106
Mycobacterium phage U2	UP000002085	260120	81
Mycobacterium phage Jaan	UP000225806	1897439	90
Mycobacterium phage Finemlucis	UP000231431	2015844	131
Mycobacterium virus Optimus	UP000008428	1032893	230
Mycobacterium phage Aggie	UP000262319	2301547	67
Mycobacterium phage Acolyte	UP000259023	2250290	92
Mycobacterium phage Anthony	UP000327026	2599857	89
Mycobacterium phage HINdeR	UP000013551	1327770	84
Mycobacterium phage ANI8	UP000500807	2725645	90
Mycobacterium phage Phatniss	UP000201885	1698356	101
Mycobacterium phage Butterscotch	UP000002177	561997	86
Mycobacterium phage Wee	UP000008921	938131	109
Mycobacterium phage Hawkeye	UP000019737	1458711	104
Mycobacterium phage Wanda	UP000015575	1340713	240
Mycobacterium phage Seabiscuit	UP000019734	1458714	94
Mycobacterium virus PMC	UP000002537	373412	104
Mycobacterium phage Konstantine	UP000002183	563121	95
Mycobacterium virus Kugel	UP000005661	1089128	95
Mycobacterium phage Rich	UP000225176	1927021	95
Mycobacterium phage Twister	UP000004789	1161933	87
Mycobacterium phage KyMonks1A	UP000334913	2653760	95
Mycobacterium phage XFactor	UP000204305	1698715	95
Mycobacterium phage Imvubu	UP000464404	2686233	102
Mycobacterium phage Baby16	UP000290032	2502441	89
Mycobacterium phage Yunkel11	UP000326275	2599886	100
Mycobacterium phage Keshu	UP000031717	1567471	101
Mycobacterium phage RidgeCB	UP000008905	1071506	94
Mycobacterium phage Redi	UP000001284	1079894	69
Mycobacterium phage Froghopper	UP000274274	2488968	82
Mycobacterium phage Rabbs	UP000292732	2530143	65
Mycobacterium phage Niza	UP000252632	2250382	89
Mycobacterium phage Phasih	UP000230492	2041544	100
Mycobacterium phage Sheen	UP000031723	1589274	84
Mycobacterium phage Phantastic	UP000024443	1486426	91
Mycobacterium phage prophi62-2	UP000662838	2813218	82
Mycobacterium phage Keziacharles14	UP000327020	2575611	93
Mycobacterium phage Demsculpinboyz	UP000231264	2041528	117
Mycobacterium phage Minnie	UP000371275	2653764	100
Mycobacterium phage NothingSpecial	UP000317295	2590945	88
Mycobacterium phage MalagasyRose	UP000326279	2599870	84
Mycobacterium phage Ekdilam	UP000326609	2599862	92
Mycobacterium phage Pharaoh	UP000293430	2530140	80
Mycobacterium phage phiT46-1	UP000594984	2775045	78
Mycobacterium phage Patience	UP000000694	1074308	110
Mycobacterium phage Rando14	UP000263691	2301556	91
Mycobacterium phage prophiGD27-1	UP000663388	2813254	116
Mycobacterium phage Papez	UP000203139	1873891	94
Mycobacterium virus Arturo	UP000008058	1211281	86
Mycobacterium phage Taj	UP000002904	1204515	110
Mycobacterium phage Sparky	UP000028659	1527493	91
Mycobacterium phage Changeling	UP000221632	2015877	92
Mycobacterium virus Mutaforma13	UP000008401	1036614	106
Mycobacterium phage HanShotFirst	UP000018627	1429904	91
Mycobacterium phage Paphu	UP000326381	2599873	92
Mycobacterium phage BiancaTri92	UP000427792	2656559	91
Mycobacterium phage Constella	UP000259108	2250374	228
Mycobacterium phage Makemake	UP000201915	1873889	93
Mycobacterium virus Fionnbarth	UP000005664	1097753	94
Mycobacterium phage phiGD17-1	UP000594753	2794950	88
Mycobacterium phage Ovechkin	UP000201155	1673889	106
Mycobacterium phage Naca	UP000240247	2126816	87
Mycobacterium phage 40AC	UP000201360	1458717	90
Mycobacterium phage AN9	UP000501463	2725646	90
Mycobacterium phage UPIE	UP000221823	1034147	122
Mycobacterium phage Darko	UP000290215	2502479	232
Mycobacterium phage Bones	UP000275636	2488963	89
Mycobacterium phage Loser	UP000203329	1815969	97
Mycobacterium phage Hope4ever	UP000258744	2250300	88
Mycobacterium phage Amochick	UP000263445	2301540	86
Mycobacterium phage LilhomieP	UP000317816	2591221	137
Mycobacterium phage ArcherNM	UP000204046	1815972	91
Mycobacterium phage IdentityCrisis	UP000326087	2599866	60
Mycobacterium phage prophiGD05-2	UP000663614	2813232	67
Mycobacterium phage ThetaBob	UP000317774	2588513	106
Mycobacterium phage Ebony	UP000253416	2234074	98
Mycobacterium phage TNguyen7	UP000244473	2126956	91
Mycobacterium phage Aeneas	UP000006060	1168595	99
Mycobacterium phage Fancypants	UP000293844	2530128	110
Mycobacterium phage Muddy	UP000015553	1340829	71
Mycobacterium phage Dallas	UP000317659	2590941	241
Mycobacterium phage Conspiracy	UP000018635	1391431	86
Mycobacterium phage Donovan	UP000019130	1429793	78
Mycobacterium phage Sagefire	UP000426847	2656602	89
Mycobacterium phage Bipper	UP000201826	1805457	135
Mycobacterium phage LaterM	UP000241398	2094136	95
Mycobacterium phage Mandlovu	UP000516050	2767560	101
Mycobacterium phage prophi88-1	UP000663273	2813223	93
Mycobacterium phage EleanorGeorge	UP000263302	2301563	108
Mycobacterium phage Edtherson	UP000031079	1567468	91
Mycobacterium virus Brujita	UP000002176	561996	74
Mycobacterium phage Blue	UP000226398	1927019	84
Mycobacterium phage FlagStaff	UP000203806	1647304	65
Mycobacterium phage Emma	UP000223506	2027893	109
Mycobacterium phage prophi91-1	UP000663243	2813225	71
Mycobacterium phage prophiGD43A-3	UP000663609	2813262	70
Mycobacterium phage Big3	UP000316467	2591126	91
Mycobacterium phage Homines	UP000258547	2282908	87
Mycobacterium phage Rem711	UP000241185	2079285	85
Mycobacterium phage Francis47	UP000293742	2530129	93
Mycobacterium phage Cornucopia	UP000295635	2517944	105
Mycobacterium phage KayaCho	UP000015554	1340830	95
Mycobacterium phage Candle	UP000298659	2565513	95
Mycobacterium phage prophiGD17-1	UP000663035	2813244	88
Mycobacterium phage Shandong1	UP000226045	1983447	96
Mycobacterium phage Squirty	UP000029348	1527512	102
Mycobacterium phage Wachhund	UP000225595	2027903	101
Mycobacterium phage Charm	UP000294520	2517942	92
Mycobacterium virus Che9d	UP000006819	205876	111
Mycobacterium phage BigMau	UP000258178	2250419	91
Mycobacterium virus Drago	UP000000701	1074303	103
Mycobacterium phage Bobi	UP000015565	1340708	107
Mycobacterium phage Fajezeel	UP000240678	2081623	90
Mycobacterium phage Kersh	UP000221399	1897501	107
Mycobacterium phage Frankie	UP000241317	2079565	103
Mycobacterium virus D29	UP000002131	28369	77
Mycobacterium phage DrLupo	UP000288363	2499037	110
Mycobacterium phage AFIS	UP000290332	2502418	88
Mycobacterium phage Soul22	UP000510611	2743996	102
Mycobacterium phage Kenuha5	UP000383886	2653759	96
Mycobacterium phage ShiLan	UP000008402	1036616	107
Mycobacterium phage TipsytheTRex	UP000229282	2041553	93
Mycobacterium phage Phelemich	UP000015572	1383055	95
Mycobacterium phage Treddle	UP000031073	1567479	94
Mycobacterium phage Nhonho	UP000203884	1675553	88
Mycobacterium phage Loadrie	UP000224205	1837841	133
Mycobacterium phage Poenanya	UP000290184	2500793	107
Mycobacterium phage MooMoo	UP000241634	2108127	97
Mycobacterium phage Miko	UP000342258	2653762	90
Mycobacterium phage MOOREtheMARYer	UP000202037	1647309	67
Mycobacterium virus Ramsey	UP000002181	563123	108
Mycobacterium virus Che9c	UP000000967	205872	84
Mycobacterium phage prophiGD54-2	UP000663596	2813270	134
Mycobacterium phage Phayonce	UP000214372	1647302	77
Mycobacterium phage Reindeer	UP000515841	2762283	140
Mycobacterium phage PopTart	UP000204216	1698712	95
Mycobacterium phage Gandalph	UP000516205	2767557	104
Mycobacterium phage Firehouse51	UP000594083	2776877	98
Mycobacterium phage SkiPole	UP000001896	701456	102
Mycobacterium phage Wildcat	UP000001538	373415	148
Mycobacterium phage XianYue	UP000298549	2572534	92
Mycobacterium phage Kevin1	UP000293661	2530132	69
Mycobacterium phage phiGD21-1	UP000595012	2794952	63
Mycobacterium phage Nivrat	UP000262375	2301710	103
Mycobacterium phage Bxz1	UP000000730	205877	225
Mycobacterium phage Adzzy	UP000015573	1383059	96
Mycobacterium phage Moldemort	UP000293757	2530188	146
Mycobacterium phage ZoeJ	UP000024442	1486427	92
Mycobacterium phage prophi52-1	UP000663619	2813214	75
Mycobacterium phage Obama12	UP000019122	1445715	89
Mycobacterium phage Hughesyang	UP000292970	2530130	241
Mycobacterium phage Llij	UP000000903	2681623	100
Mycobacterium phage Smooch	UP000326163	2652896	125
Mycobacterium phage Flathead	UP000379765	2653756	108
Mycobacterium phage NicoleTera	UP000280177	2315713	93
Mycobacterium phage ZenTime222	UP000224705	2006926	67
Mycobacterium phage TDanisky	UP000400215	2653768	111
Mycobacterium phage SwagPigglett	UP000295156	2517970	106
Mycobacterium phage Target	UP000257495	2283260	90
Mycobacterium virus Pixie	UP000008419	1034114	100
Mycobacterium phage Dori	UP000005862	1089121	94
Mycobacterium phage prophi108-1	UP000662876	2813212	67
Mycobacterium phage Fowlmouth	UP000278789	2419978	120
Mycobacterium phage Ruotula	UP000241194	2099448	94
Mycobacterium phage Panchino	UP000202219	1821537	66
Mycobacterium phage GaugeLDP	UP000326008	2652419	90
Mycobacterium phage Weirdo19	UP000501191	2601610	89
Mycobacterium phage Spikelee	UP000262887	2301571	104
Mycobacterium phage Phrappuccino	UP000316777	2591223	201
Mycobacterium phage Filuzino	UP000275978	2484209	105
Mycobacterium phage Luchador	UP000207763	1647300	96
Mycobacterium phage Edugator	UP000222802	2015843	92
Mycobacterium phage FF47	UP000012168	1305710	73
Mycobacterium phage Bobby	UP000291807	2530120	220
Mycobacterium phage prophiGD24-2	UP000663302	2813251	80
Mycobacterium phage Raela	UP000288087	2499054	117
Mycobacterium phage Itos	UP000429251	2686089	134
Mycobacterium phage Spoonbill	UP000225363	2023953	103
Mycobacterium phage TM4	UP000002133	88870	92
Mycobacterium phage SarFire	UP000015922	1340827	99
Mycobacterium phage CactusRose	UP000226076	1897449	97
Mycobacterium phage Pita2	UP000259841	2283258	91
Mycobacterium phage Damien	UP000203390	1486469	93
Mycobacterium phage Pound	UP000596175	2797323	228
Mycobacterium phage Batiatus	UP000241338	2126812	105
Mycobacterium phage Mercurio	UP000326063	2575612	64
Mycobacterium phage Panamaxus	UP000240315	2126789	83
Mycobacterium phage prophiGD36-2	UP000663424	2813257	69
Mycobacterium phage Donkeykong	UP000425586	2656572	110
Mycobacterium phage Awesomesauce	UP000509420	2707030	94
Mycobacterium phage Indlovu	UP000595958	2790993	95
Mycobacterium phage JAMaL	UP000018803	1429905	98
Mycobacterium virus Billknuckles	UP000005655	1089116	86
Mycobacterium phage Typha	UP000294565	2517971	127
Mycobacterium virus Fruitloop	UP000002184	563119	102
Mycobacterium phage Pari	UP000203086	1718171	91
Mycobacterium phage prophiGD90-1	UP000663536	2813272	115
Mycobacterium phage CaptainTrips	UP000030201	1556289	107
Mycobacterium phage SwissCheese	UP000258829	2250428	95
Mycobacterium phage Hannaconda	UP000424968	2656580	231
Mycobacterium phage Severus	UP000013555	1327776	80
Mycobacterium phage Antsirabe	UP000326949	2575610	66
Mycobacterium phage prophiGD03-1	UP000662980	2813229	85
Mycobacterium phage JF4	UP000501670	2725641	79
Mycobacterium phage Giles	UP000008551	480808	78
Mycobacterium phage Hamulus	UP000015552	1340824	105
Mycobacterium phage Alexphander	UP000241853	2094143	104
Mycobacterium phage CRB2	UP000292006	2483623	96
Mycobacterium phage Smairt	UP000221137	2027901	100
Mycobacterium phage Refuge	UP000294688	2517967	91
Mycobacterium phage Renaud18	UP000262077	2301701	112
Mycobacterium phage prophiGD11-1	UP000663107	2813237	115
Mycobacterium phage Pollywog	UP000290812	2502448	105
Mycobacterium phage SuperGrey	UP000222555	1913038	103
Mycobacterium phage Phaded	UP000433256	2686088	88
Mycobacterium phage PinkPlastic	UP000289630	2502451	84
Mycobacterium phage Bircsak	UP000224669	1873903	91
Mycobacterium phage OkiRoe	UP000201227	1486473	96
Mycobacterium phage Terror	UP000222249	1897550	60
Mycobacterium phage MichelleMyBell	UP000019120	1445726	70
Mycobacterium phage Quico	UP000204409	1675555	112
Mycobacterium virus Babsiella	UP000005654	1089115	78
Mycobacterium phage Fishburne	UP000207644	1327765	77
Mycobacterium phage MrMiyagi	UP000515854	2762395	121
Mycobacterium phage Nitzel	UP000327190	2652404	98
Mycobacterium phage Sbash	UP000031075	1567475	89
Mycobacterium phage HC	UP000249920	2077135	76
Mycobacterium phage Iwokeuplikedis	UP000502599	2725624	98
Mycobacterium virus Che8	UP000050720	205868	112
Mycobacterium phage JewelBug	UP000289795	2502450	91
Mycobacterium phage Jsquared	UP000241767	2126814	101
Mycobacterium phage Bruin	UP000018639	1391179	141
Mycobacterium phage Quesadilla	UP000370142	2664226	98
Mycobacterium phage Oogway	UP000246300	2178922	87
Mycobacterium phage DroogsArmy	UP000509248	2744011	83
Mycobacterium phage Seagreen	UP000207662	1698713	105
Mycobacterium phage RedRock	UP000001547	711470	95
Mycobacterium phage prophiGD21-1	UP000662893	2813247	62
Mycobacterium phage Baehexic	UP000223634	1897448	97
Mycobacterium phage prophiGD02-2	UP000663251	2813228	115
Mycobacterium phage EvilGenius	UP000204422	1821723	93
Mycobacterium phage SimranZ1	UP000241413	1933771	103
Mycobacterium phage MilleniumForce	UP000273331	2315711	104
Mycobacterium phage Melissauren88	UP000246990	2163593	95
Mycobacterium virus Bethlehem	UP000002120	260121	87
Mycobacterium phage Enby	UP000427097	2656577	107
Mycobacterium phage Pippy	UP000221357	1983576	103
Mycobacterium phage Leogania	UP000424168	2656588	78
Mycobacterium phage Roary	UP000464069	2686237	100
Mycobacterium virus Corndog	UP000000964	205875	122
Mycobacterium phage Nappy	UP000005884	1088866	232
Mycobacterium phage DrFeelGood	UP000260167	2250326	85
Mycobacterium phage Spartacus	UP000008015	1147141	110
Mycobacterium phage prophi62-3	UP000662871	2813219	67
Mycobacterium phage Cuke	UP000240246	2079417	127
Mycobacterium phage Troll4	UP000002179	561999	88
Mycobacterium phage AnnaL29	UP000001270	1076630	96
Mycobacterium phage prophi91-3	UP000663588	2813226	71
Mycobacterium phage prophiGD51-1	UP000663308	2813266	76
Mycobacterium phage Cheetobro	UP000028663	1506716	92
Mycobacterium phage James	UP000292442	2530131	108
Mycobacterium virus Halo	UP000000905	373407	64
Mycobacterium phage Lolly9	UP000201083	1698711	130
Mycobacterium phage Hades	UP000202249	1527511	102
Mycobacterium phage Beezoo	UP000253341	2250355	99
Mycobacterium phage Craff	UP000253376	2250375	103
Mycobacterium phage Blexus	UP000424756	2656561	101
Mycobacterium phage Harley	UP000259984	2282909	107
Mycobacterium phage Lorde	UP000426834	2656592	106
Mycobacterium phage Doug	UP000326672	2592659	99
Mycobacterium phage JacoRen57	UP000287594	2499043	73
Mycobacterium virus Courthouse	UP000005860	1089119	241
Mycobacterium phage Reba	UP000258038	2250426	84
Mycobacterium phage StAnnes	UP000425122	2656605	110
Mycobacterium phage Phrann	UP000202629	1821541	67
Mycobacterium phage Dante	UP000201810	1698357	105
Mycobacterium phage prophi86-1	UP000663569	2813222	144
Mycobacterium phage Nazo	UP000223831	1897547	83
Mycobacterium phage Ogopogo	UP000241000	2099640	110
Mycobacterium phage TChen	UP000246238	2163598	101
Mycobacterium phage Jorgensen	UP000516566	2759390	102
Mycobacterium phage Violet	UP000009281	1086800	90
Mycobacterium phage Georgie2	UP000510655	2743928	96
Mycobacterium phage Malec	UP000288162	2500574	92
Mycobacterium phage BK1	UP000249916	2072006	85
Mycobacterium phage BigPaolini	UP000273630	2488962	85
Mycobacterium phage Et2Brutus	UP000226307	2015881	101
Mycobacterium phage Beatrix	UP000290185	2500791	90
Mycobacterium phage Marshawn	UP000325974	2652423	95
Mycobacterium phage Krakatau	UP000259060	2283296	97
Mycobacterium phage Argie	UP000294932	2517937	92
Mycobacterium phage Joselito	UP000253557	2234075	97
Mycobacterium phage DS6A	UP000005857	45764	97
Mycobacterium phage PP	UP000250053	2077134	80
Mycobacterium virus Alma	UP000005647	1089111	96
Mycobacterium phage ShedlockHolmes	UP000207723	1647313	100
Mycobacterium phage Toaka	UP000326630	2599881	95
Mycobacterium phage KashFlow	UP000595075	2794948	233
Mycobacterium phage BaconJack	UP000343814	2664223	97
Mycobacterium phage SiSi	UP000013556	1327777	99
Mycobacterium phage prophi102-2	UP000663369	2813210	79
Mycobacterium phage Kimona	UP000222598	2024295	87
Mycobacterium phage Minerva	UP000201616	1527513	238
Mycobacterium phage Pepe	UP000207678	1735466	86
Mycobacterium phage Misha28	UP000241577	2126810	93
Mycobacterium phage Gancho	UP000273282	2301613	86
Mycobacterium phage Sandalphon	UP000252280	2250367	104
Mycobacterium phage prophiGD13-2	UP000663428	2813241	69
Mycobacterium phage LilSpotty	UP000318419	2588512	85
Mycobacterium virus Yoshi	UP000223621	1034150	116
Mycobacterium phage Blinn1	UP000422251	2656562	97
Mycobacterium phage Charlie	UP000008519	1056830	68
Mycobacterium phage Chris	UP000501603	2725626	100
Mycobacterium phage Odin	UP000015082	1340711	94
Mycobacterium phage PacerPaul	UP000221935	1897542	93
Mycobacterium phage Philonius	UP000241430	2047843	72
Mycobacterium virus Che12	UP000002541	373405	98
Mycobacterium phage Jeon	UP000241956	2108123	85
Mycobacterium phage Phlei	UP000203948	1690684	81
Mycobacterium phage Polka14	UP000309153	2584498	108
Mycobacterium phage PegLeg	UP000204175	1325953	138
Mycobacterium phage Pocahontas	UP000317120	2590943	86
Mycobacterium phage Paola	UP000240226	2094139	92
Mycobacterium phage Watermelon	UP000422769	2656615	89
Mycobacterium phage LilMcDreamy	UP000325405	2652422	99
Mycobacterium phage Bongo	UP000005886	1088864	132
Mycobacterium phage Royals2015	UP000516055	2768139	109
Mycobacterium phage WillSterrel	UP000225278	1897769	104
Mycobacterium phage Dreamboat	UP000009279	1086749	94
Mycobacterium phage Brocalys	UP000202118	1815608	96
Mycobacterium phage prophiGD51-2	UP000662859	2813267	64
Mycobacterium phage Necropolis	UP000319059	2591222	76
Mycobacterium phage prophiGD102-1	UP000662899	2813236	117
Mycobacterium phage Xeno	UP000202790	1821538	69
Mycobacterium phage Wilder	UP000224165	1897507	130
Mycobacterium phage prophiGD05-3	UP000663380	2813233	76
Mycobacterium phage Alsfro	UP000019498	1458724	98
Mycobacterium phage TheloniousMonk	UP000202491	1701845	90
Mycobacterium phage Rajelicia	UP000290196	2502444	89
Mycobacterium phage Graduation	UP000018634	1391432	97
Mycobacterium phage QueenHazel	UP000327223	2599875	73
Mycobacterium phage Shaobing	UP000289302	2500807	95
Mycobacterium phage prophiGD15-1	UP000662792	2813242	124
Mycobacterium phage Island3	UP000000526	861048	76
Mycobacterium phage Shauna1	UP000006947	1036615	107
Mycobacterium phage Butters	UP000012171	1296646	66
Mycobacterium phage Barriga	UP000202030	1675548	101
Mycobacterium phage Pipefish	UP000000907	373413	102
Mycobacterium phage Plumbus	UP000595260	2790994	102
Mycobacterium phage Wheeler	UP000015570	1383054	96
Mycobacterium virus SG4	UP000005652	1089132	104
Mycobacterium virus Doom	UP000008426	1051138	85
Mycobacterium phage Carlyle	UP000319151	2585231	91
Mycobacterium phage Estave1	UP000029345	1536603	112
Mycobacterium phage Bryler	UP000405876	2653755	92
Mycobacterium phage Kumao	UP000229090	2041344	115
Mycobacterium phage EagleEye	UP000019119	1429759	95
Mycobacterium phage SirPhilip	UP000224266	2015824	97
Mycobacterium phage Waterfoul	UP000223153	1897518	94
Mycobacterium phage SassyB	UP000221573	1958910	95
Mycobacterium phage Yecey3	UP000423725	2656617	100
Mycobacterium phage Eish	UP000424681	2656575	109
Mycobacterium phage Conquerage	UP000240447	2081622	96
Mycobacterium phage STLscum	UP000594045	2776872	100
Mycobacterium virus Bron	UP000000524	861047	123
Mycobacterium phage Journey13	UP000222251	1983408	81
Mycobacterium phage prophiGD54-1	UP000663480	2813269	79
Mycobacterium phage Cornie	UP000503444	2704043	101
Mycobacterium phage Petruchio	UP000225975	1927018	90
Mycobacterium phage Magnar	UP000252728	2250361	91
Mycobacterium phage Phanphagia	UP000503416	2719206	110
Mycobacterium virus CrimD	UP000000527	861045	95
Mycobacterium phage prophiGD43A-4	UP000663554	2813263	91
Mycobacterium phage ByChance	UP000252380	2250373	95
Mycobacterium phage ChipMunk	UP000221798	1821722	94
Mycobacterium phage Nala	UP000018637	1391180	147
Mycobacterium phage Llama	UP000029358	1541823	111
Mycobacterium virus GUmbie	UP000008904	1071505	104
Mycobacterium virus Avani	UP000006059	1168594	107
Mycobacterium phage Arissanae	UP000291565	2530173	94
Mycobacterium phage Strokeseat	UP000424332	2656607	101
Mycobacterium phage MyraDee	UP000225918	2024303	94
Mycobacterium phage ArcusAngelus	UP000275242	2315613	103
Mycobacterium phage Vincenzo	UP000203101	1647301	98
Mycobacterium phage Lamina13	UP000019742	1468169	96
Mycobacterium virus Omega	UP000000963	205879	237
Mycobacterium phage Amgine	UP000221202	2015817	97
Mycobacterium phage Silvafighter	UP000251157	2234033	74
Mycobacterium phage Arib1	UP000231359	2041518	78
Mycobacterium phage Scowl	UP000240662	2099449	91
Mycobacterium virus Peaches	UP000001392	663557	86
Mycobacterium virus Euphoria	UP000009067	1051140	94
Mycobacterium phage Koella	UP000250500	2234029	95
Mycobacterium virus Dlane	UP000008409	1034101	105
Mycobacterium phage Dulcie	UP000295676	2517948	94
Mycobacterium virus Bxb1	UP000006815	148603	85
Mycobacterium phage MiaZeal	UP000030714	1567005	250
Mycobacterium phage Mahavrat	UP000318624	2591129	99
Mycobacterium phage CASbig	UP000013542	1327035	97
Mycobacterium phage Moonbeam	UP000516009	2767561	107
Mycobacterium phage Bipolar	UP000029885	1551711	106
Mycobacterium phage Tripl3t	UP000292861	2341048	91
Mycobacterium phage SpongeBob	UP000293597	2530151	65
Mycobacterium virus L5	UP000002123	31757	90
Mycobacterium phage Hegedechwinu	UP000464561	2686469	112
Mycobacterium phage prophiGD12-2	UP000662757	2813240	87
Mycobacterium virus DotProduct	UP000007317	1097752	98
Mycobacterium phage SheaKeira	UP000426226	2656603	92
Mycobacterium phage Saguaro	UP000269292	2315616	93
Mycobacterium phage BigNuz	UP000000697	1074309	82
Mycobacterium phage Chuckly	UP000422911	2656569	102
Mycobacterium phage Michley	UP000252844	2234076	92
Mycobacterium phage PainterBoy	UP000515883	2762425	93
Mycobacterium phage PhrostyMug	UP000016708	1354512	97
Mycobacterium phage DarthPhader	UP000226155	1912975	91
Mycobacterium phage prophiGD43A-5	UP000663645	2813264	115
Mycobacterium phage Zerg	UP000268651	2488980	104
Mycobacterium phage ThulaThula	UP000326708	2599880	80
Mycobacterium phage Fascinus	UP000242016	2108118	86
Mycobacterium phage Bromden	UP000258832	2283252	118
Mycobacterium phage KristaRAM	UP000264538	2301700	113
Mycobacterium phage Whouxphf	UP000269132	2484216	108
Mycobacterium phage Byougenkin	UP000246700	2182394	101
Mycobacterium phage DonSanchon	UP000257745	2283253	97
Mycobacterium phage Echild	UP000019125	1437839	100
Mycobacterium phage MosMoris	UP000024435	1471542	111
Mycobacterium virus RockyHorror	UP000225925	1034145	107
Mycobacterium virus Mozy	UP000005425	1034112	108
Mycobacterium phage prophi104-2	UP000663690	2813211	72
Mycobacterium phage SkinnyPete	UP000225260	1821539	67
Mycobacterium phage Pinnie	UP000294943	2517965	66
Mycobacterium phage Clautastrophe	UP000223993	2015878	122
Mycobacterium phage PBI1	UP000002539	373410	81
Mycobacterium phage prophi62-1	UP000662786	2813217	58
Mycobacterium phage prophi68-1	UP000663462	2813220	78
Mycobacterium phage Andies	UP000241155	2047834	65
Mycobacterium phage Purky	UP000320930	2593351	84
Mycobacterium virus KBG	UP000001724	540066	89
Mycobacterium phage Smeagol	UP000240323	2108131	90
Mycobacterium phage Myrna	UP000001849	546805	229
Mycobacterium phage Ryadel	UP000259996	2283292	132
Mycobacterium phage phiGD22-1	UP000594973	2794953	120
Mycobacterium phage prophi91-4	UP000663620	2813227	84
Mycobacterium phage Juice456	UP000327083	2652403	102
Mycobacterium phage Velveteen	UP000015580	1340821	100
Mycobacterium virus Ibhubesi	UP000008408	1034107	103
Mycobacterium phage Yuna	UP000326803	2599885	99
Mycobacterium phage Cambiare	UP000201500	1647305	67
Mycobacterium virus Pacc40	UP000002182	563122	101
Mycobacterium phage VA6	UP000503301	2725638	93
Mycobacterium phage Theia	UP000201432	1718172	87
Mycobacterium phage Bubbles123	UP000221706	1932895	100
Mycobacterium phage prophiGD91-2	UP000662906	2813273	117
Mycobacterium phage Kingsley	UP000224484	1970794	112
Mycobacterium phage BuzzLyseyear	UP000029340	1536598	110
Mycobacterium phage MissWhite	UP000222566	2024297	92
Mycobacterium phage Thumb	UP000241077	2094141	94
Mycobacterium phage DillTech15	UP000247174	2163591	111
