Taxon	UniProt proteome ID	NCBI taxon ID	Total sequences in proteome
Aminipila sp. JN-18	UP000287601	2507160	2438
Actinobacteria bacterium	UP000478125	1883427	3711
Vibrio caribbeanicus ATCC BAA-2122	UP000002943	796620	4023
Marinirhabdus gelatinilytica	UP000255317	1703343	3022
Verrucomicrobia bacterium SCGC AG-212-E04	UP000184560	1799654	1004
Kandleria vitulina DSM 20405	UP000051841	1410657	2043
Streptomyces armeniacus	UP000254425	83291	6639
Mycolicibacterium chubuense	UP000036176	1800	5700
Pseudoxanthobacter soli DSM 19599	UP000186406	1123029	4320
Nakamurella sp. PAMC28650	UP000515859	2762325	4773
Lachnoclostridium sp. An298	UP000199801	1965627	2948
Rhodospirillales bacterium URHD0017	UP000198826	1380357	7953
Erythrobacter insulae	UP000316343	2584124	2737
Deinococcus radiodurans R1	UP000002524	243230	3084
Salinibacter ruber DSM 13855	UP000008674	309807	2812
Streptomyces sp. SID3343	UP000470372	2690260	9897
Hyphomicrobium denitrificans ATCC 51888	UP000002033	582899	3452
Glutamicibacter creatinolyticus	UP000307000	162496	2880
gamma proteobacterium SS-5	UP000326736	947516	3230
Breoghania corrubedonensis	UP000244081	665038	4681
Celeribacter marinus	UP000064920	1397108	3134
Clostridium sp. CAG:307	UP000018128	1262795	1655
Amylibacter sp. SFDW26	UP000430014	2652722	3070
Fusobacterium sp. FSA-380-WT-3A	UP000591197	2725304	1913
Rothia kristinae	UP000053171	37923	1872
Pedobacter xixiisoli	UP000219281	1476464	4166
Collinsella sp. BA40	UP000321063	2560852	1521
Halanaerobium praevalens DSM 2228	UP000006866	572479	2055
Desulfomonile tiedjei DSM 6799	UP000006055	706587	5412
Marmoricola solisilvae	UP000277094	1542737	3726
Pseudodesulfovibrio profundus	UP000219215	57320	3808
Erwinia sp. OLSSP12	UP000229786	1912096	3383
Rhodoplanes sp. Z2-YC6860	UP000070354	674703	7007
Chitinophaga sp. YR573	UP000198758	1881040	6483
Acidipila sp. EB88	UP000279598	2305226	3402
Aeriscardovia aeriphila	UP000228976	218139	1287
Desulfonatronum sp. SC1	UP000240513	2109626	3695
Apilactobacillus kunkeei	UP000037778	148814	1332
Antricoccus suffuscus	UP000237752	1629062	4340
Halarcobacter ebronensis	UP000290172	1462615	3167
Thermoanaerobacterium thermosaccharolyticum DSM 571	UP000001626	580327	2583
Granulicatella adiacens ATCC 49175	UP000005926	638301	1920
Rhizobium azooxidifex	UP000574761	1636188	5544
Geodermatophilus sp. Leaf369	UP000051830	1736354	4093
Tsukamurella paurometabola DSM 20162	UP000001213	521096	4170
Phaeobacter sp. 22II1-1F12B	UP000197279	1317111	4790
Flavobacteriaceae bacterium UJ101	UP000183895	1150389	2681
Roseiflexus sp. RS-1	UP000006554	357808	4494
Denitratisoma oestradiolicum	UP000515733	311182	4083
Nitrosomonas sp. Nm58	UP000199646	200126	3100
Micromonospora haikouensis	UP000032254	686309	5591
Alistipes sp. CAG:157	UP000018346	1262692	1828
Loktanella atrilutea	UP000183987	366533	4069
Ligilactobacillus acidipiscis	UP000051491	89059	2127
Desulfovibrio sp. FSS-1	UP000494245	2730080	3975
Candidatus Kinetoplastibacterium crithidii TCC036E	UP000011686	1208918	728
Novosphingobium sp. AAP1	UP000037880	1523413	3896
Coprobacillus sp. CAG:826	UP000017997	1262857	1394
Bilophila wadsworthia 3_1_6	UP000006034	563192	3779
Actinomarinicola tropica	UP000334019	2789776	3559
Actibacterium atlanticum	UP000024836	1461693	3126
Clostridium kluyveri DSM 555	UP000002411	431943	3828
Nocardioides sp. Root190	UP000050886	1736488	4603
Marinicauda pacifica	UP000305451	1133559	2862
Rhodobacteraceae bacterium WD3A24	UP000237945	2086263	3201
Streptomyces populi	UP000236178	2058924	8072
Candidatus Macondimonas diazotrophica	UP000297890	2305248	2722
Flavobacteria bacterium BAL38	UP000003784	391598	2588
Butyrivibrio sp. ob235	UP000199418	1761780	4267
Streptomyces sp. DSM 40868	UP000501663	2721173	7715
Bacillaceae bacterium R1DC41	UP000593626	2593652	3019
Glaciimonas immobilis	UP000571084	728004	4512
Flavonifractor sp. An10	UP000196537	1965537	3501
Aureimonas sp. Leaf454	UP000051585	1736381	4218
Streptomyces sp. DJ	UP000235150	2067551	5329
Chitinophaga costaii	UP000242818	1335309	4204
Chlamydiales bacterium SCGC AG-110-M15	UP000196862	1871324	847
Isobaculum melis	UP000198948	142588	2700
Cohnella sp. OV330	UP000198686	1855288	6192
Alphaproteobacteria bacterium	UP000291202	1913988	5432
Paracoccus liaowanqingii	UP000297972	2560053	4493
Ruminococcus sp. YE71	UP000182164	244362	3572
Arthrobacter subterraneus	UP000199258	335973	3624
Antarctobacter heliothermus	UP000203589	74033	4962
Mycobacterium conspicuum	UP000193407	44010	5457
Rubripirellula lacrimiformis	UP000318538	1930273	6373
Rathayibacter sp. Leaf296	UP000050868	1736327	3537
Deinococcus maricopensis DSM 21211	UP000008635	709986	3262
Mycoplasma canadense	UP000031641	29554	481
bacterium M21	UP000196426	1932697	1049
Neisseria sp. oral taxon 020 str. F0370	UP000010457	1127694	2879
Hydrotalea sandarakina	UP000249720	1004304	2813
Rhodanobacter sp. B05	UP000188464	1945859	3234
Weissella fabalis	UP000549765	1070421	1874
Cylindrospermum stagnale PCC 7417	UP000010475	56107	6200
Prevotella sp. CAG:1124	UP000017956	1262920	2441
Neptunomonas qingdaonensis	UP000198623	1045558	4011
Pilibacter termitis	UP000190328	263852	2569
Pigmentiphaga aceris	UP000325161	1940612	5191
Lacipirellula limnantheis	UP000317909	2528024	5493
Acidothermus cellulolyticus 11B	UP000008221	351607	2157
Desulfoluna spongiiphila	UP000198870	419481	5238
Actinomadura darangshiensis	UP000295578	705336	9026
Ichthyobacterium seriolicida	UP000243197	242600	1467
Arthrobacter sp. YC-RL1	UP000037645	1652545	3439
Maritimibacter alkaliphilus HTCC2654	UP000002931	314271	4692
Weissella cibaria	UP000032287	137591	2282
Priestia filamentosa	UP000036202	1402861	5042
[Clostridium] symbiosum WAL-14163	UP000002970	742740	4668
Gluconacetobacter johannae	UP000561066	112140	3257
Spelaeicoccus albus	UP000539111	1280376	3738
Thalassobacter sp. 16PALIMAR09	UP000029829	1225651	3345
Pseudomonas xinjiangensis	UP000243207	487184	3245
Candidatus Galacturonibacter soehngenii	UP000461768	2307010	3623
Cohnella lupini	UP000256869	1294267	5622
Arthrobacter sp. Edens01	UP000054460	1732020	3212
Cryobacterium sp. MDB2-A-2	UP000297903	1259182	3588
Bacillus sp. FJAT-27916	UP000036953	1679169	3770
Clostridium sp. CAG:524	UP000018086	1262817	1265
Paenibacillus anaericanus	UP000279446	170367	5415
Intrasporangium oryzae NRRL B-24470	UP000019489	1386089	4086
Lachnoclostridium sp. An181	UP000242090	1965575	2355
Marinicaulis flavus	UP000239504	2058213	4433
Nonlabens spongiae	UP000193431	331648	2989
Frateuria aurantia DSM 6220	UP000005234	767434	3098
Candidatus Azoamicus ciliaticola	UP000509549	2652803	310
Aquimarina aggregata	UP000076715	1642818	5047
Pantoea sp. Mhis	UP000443529	2576759	727
Arthrobacter woluwensis	UP000182652	156980	3355
Blastococcus sp. CT_GayMR19	UP000298197	2559608	4236
Desulforhopalus singaporensis	UP000199073	91360	4348
Enterococcus phoeniculicola ATCC BAA-412	UP000013785	1158610	3510
Cognatishimia activa	UP000051184	1715691	3406
Motiliproteus sp. MSK22-1	UP000187359	1897630	5085
Deinococcus gobiensis I-0	UP000007575	745776	4329
Rhodobacter aestuarii	UP000186221	453582	3631
Pseudooceanicola nitratireducens	UP000231644	517719	3828
Paenibacillus piri	UP000295636	2547395	6802
Firmicutes bacterium CAG:95	UP000018182	1262988	2767
Nocardioides sp. K1W22B-1	UP000276542	2321396	3217
Arcobacter nitrofigilis DSM 7299	UP000000939	572480	3125
Streptomyces sp. e14	UP000004704	645465	6181
Coprococcus catus	UP000261231	116085	3079
Flavobacterium columnare ATCC 49512	UP000005638	1041826	2617
Enterobacillus tribolii	UP000254848	1487935	4233
Proteus myxofaciens ATCC 19692	UP000094023	1354337	3194
Acidocella sp. MX-AZ02	UP000006217	1214225	3506
Pseudorhodoferax sp. Leaf267	UP000051560	1736316	5708
Achromobacter sp. KAs 3-5	UP000189022	1915388	4922
Pontibacillus litoralis JSM 072002	UP000030401	1385512	3202
Bacillus sp. MUM 116	UP000180019	1678002	5271
Aquimonas voraii	UP000199603	265719	3593
Geminocystis sp. NIES-3709	UP000064126	1617448	3825
Flavobacterium sp. 316	UP000032747	1603293	3356
Clostridium sp. 7_2_43FAA	UP000017809	457396	3389
Nocardioides lianchengensis	UP000199034	1045774	5063
Halomonas olivaria	UP000289555	390919	7365
Nocardioides sp. PD653	UP000194147	393303	5032
Thermomonas hydrothermalis	UP000242857	213588	2296
Microbacterium schleiferi	UP000594480	69362	2810
Treponema sp. RCC2812	UP000595224	2787628	2341
Opitutus terrae PB90-1	UP000007013	452637	4588
Pseudomonas sp. HLS-6	UP000230810	2049589	4701
Nocardioides immobilis	UP000283644	2049295	6094
Saccharopolyspora erythraea NRRL 2338	UP000006728	405948	7154
Nocardia stercoris	UP000279275	2483361	6448
Pirellula staleyi DSM 6068	UP000001887	530564	4711
Rhodovulum bhavnagarense	UP000295050	992286	3085
Bacteroides sp. An322	UP000195527	1965632	2802
Mucispirillum schaedleri ASF457	UP000017429	1379858	2091
Gaiella sp. SCGC AG-212-M14	UP000243240	1799656	915
Pedobacter sp. HMF7647	UP000466586	2695275	4034
Pseudomonas sp.	UP000315499	306	1027
Chitinophaga tropicalis	UP000461730	2683588	6033
Megasphaera vaginalis	UP000017090	1111454	2196
Lactiplantibacillus mudanjiangensis	UP000289996	1296538	3503
Mucilaginibacter sp. PPCGB 2223	UP000095113	1886027	4665
Candidatus Marinimicrobia bacterium MT.SAG.3	UP000297774	2552982	1570
Marinobacter sp. X15-166B	UP000175667	1897620	3115
Niallia circulans	UP000036045	1397	4949
Acidomonas methanolica NBRC 104435	UP000019760	1231351	3270
Nocardia sp. WCH-YHL-001	UP000515512	2755382	7446
Chloroflexia bacterium SDU3-3	UP000462167	2651839	5329
Prochlorococcus marinus subsp. marinus str. CCMP1375	UP000001420	167539	1881
Rhizobium sp. AAP43	UP000052180	1523420	4372
Synechococcus sp. PCC 7335	UP000005766	91464	5475
Alphaproteobacteria bacterium GH1-50	UP000480350	2691042	3643
Roseobacter cerasinus	UP000436522	2602289	4343
Campylobacter volucris	UP000321325	1031542	1515
Jonquetella anthropi DSM 22815	UP000003806	885272	1508
Geobacter sulfurreducens PCA	UP000000577	243231	3402
Azomonas agilis	UP000319627	116849	3016
Moheibacter sediminis	UP000192393	1434700	2974
Actinokineospora iranica	UP000199501	1271860	6124
Haloechinothrix halophila YIM 93223	UP000054357	592678	356
Eubacterium sp. CAG:581	UP000017975	1262890	1746
Clostridium tagluense	UP000287872	360422	4934
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	UP000002084	41514	4500
Thiosulfativibrio zosterae	UP000501466	2675053	2362
Parvibium lacunae	UP000252357	1888893	2432
Pseudoflavitalea sp. G-6-1-2	UP000569858	2728841	4890
Paenalcaligenes hominis	UP000189369	643674	2082
Anaerostipes sp. 494a	UP000242190	1261636	2255
Saccharomonospora marina XMU15	UP000004926	882083	5567
Mariniphaga sediminis	UP000266441	1628158	4517
Actinomyces respiraculi	UP000594637	2744574	2328
Mycoplasmopsis phocirhinis	UP000289326	142650	676
Roseivivax roseus	UP000198885	641238	4061
Thermovirga lienii DSM 17291	UP000005868	580340	1853
Mycoplasma struthionis	UP000275883	538220	590
Desulfosporosinus sp. OT	UP000004928	913865	6205
Erwinia sp. CPCC 100877	UP000475909	2665162	5690
Streptococcus ovuberis	UP000522720	1936207	2197
Actirhodobacter atriluteus	UP000561438	2744473	2761
Halomonas sp. A11-A	UP000246506	2183985	3109
Pseudoalteromonas phenolica	UP000061457	161398	4164
Terriglobus albidus	UP000321820	1592106	4970
Borrelia duttonii CR2A	UP000019148	1432657	1995
Allobranchiibius huperziae	UP000571817	1874116	3552
Thioclava dalianensis	UP000027725	1185766	4007
Candidatus Sulfurimonas marisnigri	UP000593836	2740405	2410
Oleomonas sp. K1W22B-8	UP000284605	2320859	5024
Phycicoccus endophyticus	UP000515976	1690220	2871
Deinococcus ficus	UP000259030	317577	3884
[Enterobacter] lignolyticus SCF1	UP000006872	701347	4393
Achromobacter piechaudii ATCC 43553	UP000004510	742159	5755
Campylobacter iguaniorum	UP000028486	1244531	1757
Erythrobacter sp. NAP1	UP000002995	237727	3177
Umboniibacter marinipuniceus	UP000267187	569599	2413
Cytophagaceae bacterium SJW1-29	UP000479293	2654236	5629
Micrococcus sp. HMSC067E09	UP000177882	1739367	2073
Clostridium sp. MD294	UP000012445	97138	2792
Mycoplasma pneumoniae M129	UP000000808	272634	686
Rhodobacter sp. LPB0142	UP000176562	1850250	3414
Blastococcus sp. TF02A-30	UP000253175	2250580	3930
Bacillus sp. 7884-1	UP000216214	2021693	5596
Variovorax sp. PBL-E5	UP000464400	434014	6867
Thiohalophilus thiocyanatoxydans	UP000294914	381308	2775
Streptococcus sp. WM07	UP000298191	2558284	1709
Intrasporangium chromatireducens Q5-1	UP000019494	584657	4363
Psychrobacillus insolitus	UP000248646	1461	3267
Faecalicatena orotica	UP000245845	1544	5138
Lachnoclostridium sp. An196	UP000199780	1965583	3081
Candidatus Termititenax persephonae	UP000275925	2218525	1739
Crateriforma conspicua	UP000317238	2527996	5367
Acetilactobacillus jinshanensis	UP000294321	1720083	1450
Rhodohalobacter mucosus	UP000245533	2079485	3239
Puniceibacterium antarcticum	UP000231259	1206336	5603
Clostridium sp. CAG:299	UP000017929	1262792	2441
Aquimarina sp. TRL1	UP000509763	2736252	4415
Saccharothrix violaceirubra	UP000542674	413306	6879
Sulfurisoma sediminicola	UP000268908	1381557	2823
Alteriqipengyuania halimionae	UP000429229	1926630	2656
Cardinium endosymbiont of Dermatophagoides farinae	UP000320483	2597823	1187
Okeania hirsuta	UP000269154	1458930	6134
Lutispora thermophila DSM 19022	UP000184442	1122184	3409
Achromobacter sp. AONIH1	UP000236176	1758194	5889
Paludibaculum fermentans	UP000593892	1473598	7446
Ornithobacterium rhinotracheale DSM 15997	UP000006051	867902	2138
Catenovulum agarivorans DS-2	UP000019276	1328313	3835
Paenisporosarcina antarctica	UP000294292	417367	3570
Clostridium sp. DMHC 10	UP000037118	747377	2713
Dietzia sp. UCD-THP	UP000019757	1292020	3489
Thalassorhabdomicrobium marinisediminis	UP000244817	2170577	3212
Alteromonadaceae bacterium 2753L.S.0a.02	UP000318527	1403320	4947
Pistricoccus aurantiacus	UP000321272	1883414	3396
Thermobrachium celere DSM 8682	UP000014923	941824	2370
Haloferula luteola	UP000557717	595692	4263
Candidatus Kentron sp. G	UP000294464	2126341	3885
Paenibacillus methanolicus	UP000323257	582686	6989
Streptomyces scabichelini	UP000472335	2711217	9567
Geobacter daltonii FRC-32	UP000007721	316067	3798
Nocardioides thalensis	UP000530424	1914755	4418
Gelidibacter gilvus	UP000289792	59602	3732
Mesobacillus boroniphilus JCM 21738	UP000018949	1294265	5100
Streptomyces sp. CB02261	UP000186742	1703940	6486
Shewanella denitrificans OS217	UP000001982	318161	3727
Nitrosomonas nitrosa	UP000199561	52442	2883
Nocardiopsis composta	UP000572635	157465	6417
Sinorhizobium meliloti 1021	UP000001976	266834	6169
Ectothiorhodosinus mongolicus	UP000223759	233100	1835
Acidipila rosea	UP000295210	768535	3487
Acrocarpospora macrocephala	UP000331127	150177	10697
Deinobacterium chartae	UP000569951	521158	3605
Duganella ginsengisoli	UP000484015	1462440	5918
Exiguobacterium sibiricum 255-15	UP000001681	262543	3005
Methyloglobulus morosus KoM1	UP000017842	1116472	3732
Caldicellulosiruptor owensensis OL	UP000006889	632518	2133
Tateyamaria sp. ANG-S1	UP000031171	1577905	3983
Aphanothece sacrum FPU1	UP000287247	1920663	4301
Micromonospora maris AB-18-032	UP000008308	263358	5998
Clostridium sp. CAG:138	UP000017905	1262775	1746
Nonomuraea solani	UP000236732	1144553	12105
Rummeliibacillus stabekisii	UP000076021	241244	3235
Candidatus Marinamargulisbacteria bacterium SCGC AG-414-C22	UP000248844	2184344	930
Dorea sp. AF36-15AT	UP000266623	2292041	2785
Pueribacillus theae	UP000245998	2171751	3627
Spiribacter sp. C176	UP000433788	2664894	2078
Saccharomonospora piscinae	UP000192591	687388	4456
endosymbiont of Tevnia jerichonana (vent Tica)	UP000005167	1049564	3230
Rhodococcus sp. EPR-157	UP000077673	1813677	5176
Lactococcus hodotermopsidis	UP000480303	2709157	2078
Acidithrix ferrooxidans	UP000032360	1280514	3548
Chromatium okenii	UP000239936	61644	2811
Flavobacterium sediminis	UP000245429	2201181	2952
Pontibacter fetidus	UP000478546	2700082	3463
Pseudonocardia dioxanivorans CB1190	UP000007809	675635	6620
Chlorogloea sp. CCALA 695	UP000238278	2107693	4747
Streptomyces sp. 846.5	UP000295370	2485156	7726
Leeia aquatica	UP000587991	2725557	3440
Reinekea forsetii	UP000229757	1336806	3259
Desulfonatronospira thiodismutans ASO3-1	UP000005496	555779	3577
Candidatus Methylopumilus planktonicus	UP000064007	1581557	1376
Gemella sp. WT2a	UP000297602	2558281	1666
Merismopedia glauca CCAP 1448/3	UP000238762	1296344	4638
Actinobacteria bacterium OK074	UP000037991	1592327	9137
Pseudomonas fluorescens HK44	UP000022611	1042209	5750
Planctomyces sp. SH-PL14	UP000076318	1632864	6497
Massilia horti	UP000297258	2562153	4650
Mycobacterium avium subsp. paratuberculosis K-10	UP000000580	262316	4316
Paenibacillus rigui	UP000215509	554312	6159
Rhodovarius sp. CCP-6	UP000282957	1979269	5028
Knoellia aerolata DSM 18566	UP000030013	1385519	3813
Janthinobacterium sp. Marseille	UP000006388	375286	3695
Thermocatellispora tengchongensis	UP000578449	1073253	10304
Diaphorobacter ruginosibacter	UP000515811	1715720	4471
Rhodobacteraceae bacterium HIMB11	UP000016848	1366046	3183
Kitasatospora viridis	UP000317940	281105	8776
Litorimicrobium taeanense	UP000198634	657014	3839
Desulfoplanes formicivorans	UP000095200	1592317	2657
Actinomadura sp. KC216	UP000294687	2530370	8213
Filimonas lacunae	UP000186917	477680	6193
Smithella sp. SCADC	UP000029283	1499107	2552
Polaribacter gangjinensis	UP000237608	574710	2512
Ekhidna lutea	UP000198393	447679	3721
Acidaminococcus sp. CAG:917	UP000018048	1262688	1276
Bacteroides uniformis	UP000095788	820	3898
Bizionia paragorgiae	UP000198846	283786	2859
Nitrosomonas stercoris	UP000316473	1444684	2150
Luteitalea pratensis	UP000076079	1855912	6189
Lachnospiraceae bacterium CAG:364	UP000017986	1262983	2282
Actinophytocola xinjiangensis	UP000185696	485602	8134
Pelagivirga sediminicola	UP000244446	2170575	3729
Afipia carboxidovorans OM5	UP000007730	504832	3624
Streptomyces candidus	UP000540423	67283	6713
Frigoribacterium sp. PhB160	UP000280987	2485192	3061
Flavobacterium fontis	UP000184147	1124188	2756
Chimaeribacter arupi	UP000234626	2060066	4159
Protaetiibacter larvae	UP000322159	2592654	2341
Clostridium sp. CAG:264	UP000018342	1262786	2136
Myroides guanonis	UP000243887	1150112	2674
Microvirga flocculans	UP000519439	217168	3864
Duganella sp. Leaf126	UP000051032	1736266	4312
Firmicutes bacterium CAG:882	UP000017928	1262991	2572
Micromonospora endolithica	UP000281726	230091	6179
Stenotrophomonas daejeonensis	UP000050940	659018	2805
Falsibacillus pallidus	UP000255326	493781	3956
Actinomadura logoneensis	UP000261811	2293572	7310
Vespertiliibacter pulmonis	UP000281691	1443036	1636
Thermomonas sp. SY21	UP000308149	2202149	2753
Leptolyngbya sp. O-77	UP000057790	1080068	4814
Lysobacter sp. Alg18-2.2	UP000321248	2603204	2448
Heliophilum fasciatum	UP000294813	35700	2911
Breznakibacter xylanolyticus	UP000249239	990	3475
Novosphingobium aromaticivorans DSM 12444	UP000009134	279238	3917
Affinibrenneria salicis	UP000335415	2590031	4605
Cryptosporangium aurantiacum	UP000184440	134849	8789
Hallerella succinigenes	UP000231134	1896222	2694
Enterovirga sp. DB1703	UP000564885	2730920	4513
Pseudoalteromonas translucida TAC125	UP000006843	326442	3484
Bradyrhizobium sp. LMTR 3	UP000093220	189873	6979
Roseovarius mucosus DSM 17069	UP000030021	1288298	4182
Bacillus saganii	UP000264541	2303992	3964
Leifsonia sp. Root60	UP000051073	1736567	3234
Nitrosospira briensis	UP000183107	35799	2913
Sphingomonas sp. XS-10	UP000318055	2599297	3831
Clostridium sp. D5	UP000003978	556261	4496
Rubrivivax gelatinosus IL144	UP000007883	983917	4686
Cetobacterium somerae ATCC BAA-474	UP000017081	1319815	2974
Bacillus sp. V3-13	UP000234805	2053728	4299
Tolypothrix sp. NIES-4075	UP000198313	2005459	7285
Siphonobacter sp. BAB-5404	UP000233394	1864824	3865
Eubacterium sp. CAG:76	UP000018156	1262892	2278
Desulfoscipio geothermicus DSM 3669	UP000199584	1121426	3693
Pyrinomonas methylaliphatogenes	UP000031518	454194	3179
Alteripontixanthobacter maritimus	UP000253727	2161824	2539
Desemzia incerta	UP000199136	82801	2143
Shewanella sp. P1-14-1	UP000050414	1723761	4159
Pseudothermotoga lettingae TMO	UP000002016	416591	2040
Nocardia brasiliensis ATCC 700358	UP000006304	1133849	8414
Lacticaseibacillus paracasei ATCC 334	UP000001651	321967	2708
Dictyobacter aurantiacus	UP000287224	1936993	7362
Nocardioides sp. LS1	UP000288271	1027620	4366
Clostridiales bacterium	UP000192328	1898207	3011
Dictyobacter alpinus	UP000287171	2014873	7631
Arcanobacterium haemolyticum DSM 20595	UP000000376	644284	1717
Corynebacterium glyciniphilum AJ 3170	UP000023703	1404245	3270
Paenactinomyces guangxiensis	UP000535491	1490290	3893
Staphylococcus microti	UP000032366	569857	2166
Lachnoclostridium phytofermentans ISDg	UP000000370	357809	3891
