userId	geneSymbol	geneName	entrezgene	gLink
PGA4	PGA4	pepsinogen 4, group I (pepsinogen A)	643847	https://www.ncbi.nlm.nih.gov/gene/?term=643847
PGA3	PGA3	pepsinogen 3, group I (pepsinogen A)	643834	https://www.ncbi.nlm.nih.gov/gene/?term=643834
PRG2	PRG2	proteoglycan 2, pro eosinophil major basic protein	5553	https://www.ncbi.nlm.nih.gov/gene/?term=5553
LGALS3	LGALS3	galectin 3	3958	https://www.ncbi.nlm.nih.gov/gene/?term=3958
PGC	PGC	progastricsin	5225	https://www.ncbi.nlm.nih.gov/gene/?term=5225
NFYA	NFYA	nuclear transcription factor Y subunit alpha	4800	https://www.ncbi.nlm.nih.gov/gene/?term=4800
ZFP36	ZFP36	ZFP36 ring finger protein	7538	https://www.ncbi.nlm.nih.gov/gene/?term=7538
TLX1	TLX1	T cell leukemia homeobox 1	3195	https://www.ncbi.nlm.nih.gov/gene/?term=3195
ICAM3	ICAM3	intercellular adhesion molecule 3	3385	https://www.ncbi.nlm.nih.gov/gene/?term=3385
NTF4	NTF4	neurotrophin 4	4909	https://www.ncbi.nlm.nih.gov/gene/?term=4909
VHL	VHL	von Hippel-Lindau tumor suppressor	7428	https://www.ncbi.nlm.nih.gov/gene/?term=7428
APOBEC1	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	339	https://www.ncbi.nlm.nih.gov/gene/?term=339
GATA4	GATA4	GATA binding protein 4	2626	https://www.ncbi.nlm.nih.gov/gene/?term=2626
NMU	NMU	neuromedin U	10874	https://www.ncbi.nlm.nih.gov/gene/?term=10874
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028	https://www.ncbi.nlm.nih.gov/gene/?term=1028
MFAP2	MFAP2	microfibril associated protein 2	4237	https://www.ncbi.nlm.nih.gov/gene/?term=4237
BID	BID	BH3 interacting domain death agonist	637	https://www.ncbi.nlm.nih.gov/gene/?term=637
RNF4	RNF4	ring finger protein 4	6047	https://www.ncbi.nlm.nih.gov/gene/?term=6047
PRR20C	PRR20C	proline rich 20C	729240	https://www.ncbi.nlm.nih.gov/gene/?term=729240
PRR20D	PRR20D	proline rich 20D	729246	https://www.ncbi.nlm.nih.gov/gene/?term=729246
SP3	SP3	Sp3 transcription factor	6670	https://www.ncbi.nlm.nih.gov/gene/?term=6670
RASSF7	RASSF7	Ras association domain family member 7	8045	https://www.ncbi.nlm.nih.gov/gene/?term=8045
LTB	LTB	lymphotoxin beta	4050	https://www.ncbi.nlm.nih.gov/gene/?term=4050
LOXL1	LOXL1	lysyl oxidase like 1	4016	https://www.ncbi.nlm.nih.gov/gene/?term=4016
DAZ2	DAZ2	deleted in azoospermia 2	57055	https://www.ncbi.nlm.nih.gov/gene/?term=57055
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709	https://www.ncbi.nlm.nih.gov/gene/?term=9709
SS18	SS18	SS18, nBAF chromatin remodeling complex subunit	6760	https://www.ncbi.nlm.nih.gov/gene/?term=6760
MRPL23	MRPL23	mitochondrial ribosomal protein L23	6150	https://www.ncbi.nlm.nih.gov/gene/?term=6150
CTF1	CTF1	cardiotrophin 1	1489	https://www.ncbi.nlm.nih.gov/gene/?term=1489
POU2AF1	POU2AF1	POU class 2 associating factor 1	5450	https://www.ncbi.nlm.nih.gov/gene/?term=5450
ECSCR	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	https://www.ncbi.nlm.nih.gov/gene/?term=641700
RNF151	RNF151	ring finger protein 151	146310	https://www.ncbi.nlm.nih.gov/gene/?term=146310
ALKBH6	ALKBH6	alkB homolog 6	84964	https://www.ncbi.nlm.nih.gov/gene/?term=84964
DUSP28	DUSP28	dual specificity phosphatase 28	285193	https://www.ncbi.nlm.nih.gov/gene/?term=285193
TMEM52B	TMEM52B	transmembrane protein 52B	120939	https://www.ncbi.nlm.nih.gov/gene/?term=120939
CRB2	CRB2	crumbs cell polarity complex component 2	286204	https://www.ncbi.nlm.nih.gov/gene/?term=286204
EXOSC6	EXOSC6	exosome component 6	118460	https://www.ncbi.nlm.nih.gov/gene/?term=118460
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
CPTP	CPTP	ceramide-1-phosphate transfer protein	80772	https://www.ncbi.nlm.nih.gov/gene/?term=80772
EMC10	EMC10	ER membrane protein complex subunit 10	284361	https://www.ncbi.nlm.nih.gov/gene/?term=284361
RUSC1-AS1	RUSC1-AS1	RUSC1 antisense RNA 1	284618	https://www.ncbi.nlm.nih.gov/gene/?term=284618
CHADL	CHADL	chondroadherin like	150356	https://www.ncbi.nlm.nih.gov/gene/?term=150356
SWSAP1	SWSAP1	SWIM-type zinc finger 7 associated protein 1	126074	https://www.ncbi.nlm.nih.gov/gene/?term=126074
FDX2	FDX2	ferredoxin 2	112812	https://www.ncbi.nlm.nih.gov/gene/?term=112812
GGT6	GGT6	gamma-glutamyltransferase 6	124975	https://www.ncbi.nlm.nih.gov/gene/?term=124975
VWA1	VWA1	von Willebrand factor A domain containing 1	64856	https://www.ncbi.nlm.nih.gov/gene/?term=64856
LRFN4	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	78999	https://www.ncbi.nlm.nih.gov/gene/?term=78999
AMTN	AMTN	amelotin	401138	https://www.ncbi.nlm.nih.gov/gene/?term=401138
SIGLEC15	SIGLEC15	sialic acid binding Ig like lectin 15	284266	https://www.ncbi.nlm.nih.gov/gene/?term=284266
RNF165	RNF165	ring finger protein 165	494470	https://www.ncbi.nlm.nih.gov/gene/?term=494470
PTF1A	PTF1A	pancreas associated transcription factor 1a	256297	https://www.ncbi.nlm.nih.gov/gene/?term=256297
BHLHA9	BHLHA9	basic helix-loop-helix family member a9	727857	https://www.ncbi.nlm.nih.gov/gene/?term=727857
GDF7	GDF7	growth differentiation factor 7	151449	https://www.ncbi.nlm.nih.gov/gene/?term=151449
SPATA12	SPATA12	spermatogenesis associated 12	353324	https://www.ncbi.nlm.nih.gov/gene/?term=353324
HRNR	HRNR	hornerin	388697	https://www.ncbi.nlm.nih.gov/gene/?term=388697
TRARG1	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1	286753	https://www.ncbi.nlm.nih.gov/gene/?term=286753
TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	58476	https://www.ncbi.nlm.nih.gov/gene/?term=58476
PIANP	PIANP	PILR alpha associated neural protein	196500	https://www.ncbi.nlm.nih.gov/gene/?term=196500
OSCAR	OSCAR	osteoclast associated, immunoglobulin-like receptor	126014	https://www.ncbi.nlm.nih.gov/gene/?term=126014
BOLL	BOLL	boule homolog, RNA binding protein	66037	https://www.ncbi.nlm.nih.gov/gene/?term=66037
TEX19	TEX19	testis expressed 19	400629	https://www.ncbi.nlm.nih.gov/gene/?term=400629
KREMEN2	KREMEN2	kringle containing transmembrane protein 2	79412	https://www.ncbi.nlm.nih.gov/gene/?term=79412
ZNRF1	ZNRF1	zinc and ring finger 1	84937	https://www.ncbi.nlm.nih.gov/gene/?term=84937
MAPK1IP1L	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	93487	https://www.ncbi.nlm.nih.gov/gene/?term=93487
NOXO1	NOXO1	NADPH oxidase organizer 1	124056	https://www.ncbi.nlm.nih.gov/gene/?term=124056
ZNRF2	ZNRF2	zinc and ring finger 2	223082	https://www.ncbi.nlm.nih.gov/gene/?term=223082
IL17D	IL17D	interleukin 17D	53342	https://www.ncbi.nlm.nih.gov/gene/?term=53342
MPLKIP	MPLKIP	M-phase specific PLK1 interacting protein	136647	https://www.ncbi.nlm.nih.gov/gene/?term=136647
RNASEH2C	RNASEH2C	ribonuclease H2 subunit C	84153	https://www.ncbi.nlm.nih.gov/gene/?term=84153
TSKU	TSKU	tsukushi, small leucine rich proteoglycan	25987	https://www.ncbi.nlm.nih.gov/gene/?term=25987
NEU4	NEU4	neuraminidase 4	129807	https://www.ncbi.nlm.nih.gov/gene/?term=129807
FAM168A	FAM168A	family with sequence similarity 168 member A	23201	https://www.ncbi.nlm.nih.gov/gene/?term=23201
BAD	BAD	BCL2 associated agonist of cell death	572	https://www.ncbi.nlm.nih.gov/gene/?term=572
FATE1	FATE1	fetal and adult testis expressed 1	89885	https://www.ncbi.nlm.nih.gov/gene/?term=89885
PMEPA1	PMEPA1	prostate transmembrane protein, androgen induced 1	56937	https://www.ncbi.nlm.nih.gov/gene/?term=56937
NUDT16	NUDT16	nudix hydrolase 16	131870	https://www.ncbi.nlm.nih.gov/gene/?term=131870
HES6	HES6	hes family bHLH transcription factor 6	55502	https://www.ncbi.nlm.nih.gov/gene/?term=55502
HPDL	HPDL	4-hydroxyphenylpyruvate dioxygenase like	84842	https://www.ncbi.nlm.nih.gov/gene/?term=84842
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
CARD19	CARD19	caspase recruitment domain family member 19	84270	https://www.ncbi.nlm.nih.gov/gene/?term=84270
AMELX	AMELX	amelogenin X-linked	265	https://www.ncbi.nlm.nih.gov/gene/?term=265
CDX2	CDX2	caudal type homeobox 2	1045	https://www.ncbi.nlm.nih.gov/gene/?term=1045
MDFI	MDFI	MyoD family inhibitor	4188	https://www.ncbi.nlm.nih.gov/gene/?term=4188
ASCL2	ASCL2	achaete-scute family bHLH transcription factor 2	430	https://www.ncbi.nlm.nih.gov/gene/?term=430
GDF15	GDF15	growth differentiation factor 15	9518	https://www.ncbi.nlm.nih.gov/gene/?term=9518
B9D2	B9D2	B9 domain containing 2	80776	https://www.ncbi.nlm.nih.gov/gene/?term=80776
TREX2	TREX2	three prime repair exonuclease 2	11219	https://www.ncbi.nlm.nih.gov/gene/?term=11219
CCDC3	CCDC3	coiled-coil domain containing 3	83643	https://www.ncbi.nlm.nih.gov/gene/?term=83643
NUDT16L1	NUDT16L1	nudix hydrolase 16 like 1	84309	https://www.ncbi.nlm.nih.gov/gene/?term=84309
HERPUD2	HERPUD2	HERPUD family member 2	64224	https://www.ncbi.nlm.nih.gov/gene/?term=64224
SOX7	SOX7	SRY-box 7	83595	https://www.ncbi.nlm.nih.gov/gene/?term=83595
DOHH	DOHH	deoxyhypusine hydroxylase	83475	https://www.ncbi.nlm.nih.gov/gene/?term=83475
RNF126	RNF126	ring finger protein 126	55658	https://www.ncbi.nlm.nih.gov/gene/?term=55658
DUSP23	DUSP23	dual specificity phosphatase 23	54935	https://www.ncbi.nlm.nih.gov/gene/?term=54935
SSBP3	SSBP3	single stranded DNA binding protein 3	23648	https://www.ncbi.nlm.nih.gov/gene/?term=23648
GATA5	GATA5	GATA binding protein 5	140628	https://www.ncbi.nlm.nih.gov/gene/?term=140628
IL25	IL25	interleukin 25	64806	https://www.ncbi.nlm.nih.gov/gene/?term=64806
ARMC7	ARMC7	armadillo repeat containing 7	79637	https://www.ncbi.nlm.nih.gov/gene/?term=79637
PDF	PDF	peptide deformylase, mitochondrial	64146	https://www.ncbi.nlm.nih.gov/gene/?term=64146
BCL2L10	BCL2L10	BCL2 like 10	10017	https://www.ncbi.nlm.nih.gov/gene/?term=10017
RANGRF	RANGRF	RAN guanine nucleotide release factor	29098	https://www.ncbi.nlm.nih.gov/gene/?term=29098
EXOSC4	EXOSC4	exosome component 4	54512	https://www.ncbi.nlm.nih.gov/gene/?term=54512
HEYL	HEYL	hes related family bHLH transcription factor with YRPW motif-like	26508	https://www.ncbi.nlm.nih.gov/gene/?term=26508
DAZ3	DAZ3	deleted in azoospermia 3	57054	https://www.ncbi.nlm.nih.gov/gene/?term=57054
UBQLN4	UBQLN4	ubiquilin 4	56893	https://www.ncbi.nlm.nih.gov/gene/?term=56893
AP5S1	AP5S1	adaptor related protein complex 5 subunit sigma 1	55317	https://www.ncbi.nlm.nih.gov/gene/?term=55317
RLIM	RLIM	ring finger protein, LIM domain interacting	51132	https://www.ncbi.nlm.nih.gov/gene/?term=51132
DDIT4	DDIT4	DNA damage inducible transcript 4	54541	https://www.ncbi.nlm.nih.gov/gene/?term=54541
HEY2	HEY2	hes related family bHLH transcription factor with YRPW motif 2	23493	https://www.ncbi.nlm.nih.gov/gene/?term=23493
UBQLN2	UBQLN2	ubiquilin 2	29978	https://www.ncbi.nlm.nih.gov/gene/?term=29978
RABAC1	RABAC1	Rab acceptor 1	10567	https://www.ncbi.nlm.nih.gov/gene/?term=10567
DUSP13	DUSP13	dual specificity phosphatase 13	51207	https://www.ncbi.nlm.nih.gov/gene/?term=51207
SERTAD3	SERTAD3	SERTA domain containing 3	29946	https://www.ncbi.nlm.nih.gov/gene/?term=29946
UBQLN1	UBQLN1	ubiquilin 1	29979	https://www.ncbi.nlm.nih.gov/gene/?term=29979
PROCR	PROCR	protein C receptor	10544	https://www.ncbi.nlm.nih.gov/gene/?term=10544
RNF6	RNF6	ring finger protein 6	6049	https://www.ncbi.nlm.nih.gov/gene/?term=6049
CIAO2B	CIAO2B	cytosolic iron-sulfur assembly component 2B	51647	https://www.ncbi.nlm.nih.gov/gene/?term=51647
SIT1	SIT1	signaling threshold regulating transmembrane adaptor 1	27240	https://www.ncbi.nlm.nih.gov/gene/?term=27240
CHCHD2	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	51142	https://www.ncbi.nlm.nih.gov/gene/?term=51142
EPM2A	EPM2A	EPM2A, laforin glucan phosphatase	7957	https://www.ncbi.nlm.nih.gov/gene/?term=7957
CGB7	CGB7	chorionic gonadotropin subunit beta 7	94027	https://www.ncbi.nlm.nih.gov/gene/?term=94027
SELENOV	SELENOV	selenoprotein V	348303	https://www.ncbi.nlm.nih.gov/gene/?term=348303
SSBP2	SSBP2	single stranded DNA binding protein 2	23635	https://www.ncbi.nlm.nih.gov/gene/?term=23635
PRSS53	PRSS53	serine protease 53	339105	https://www.ncbi.nlm.nih.gov/gene/?term=339105
FAM174B	FAM174B	family with sequence similarity 174 member B	400451	https://www.ncbi.nlm.nih.gov/gene/?term=400451
ERFE	ERFE	erythroferrone	151176	https://www.ncbi.nlm.nih.gov/gene/?term=151176
AARD	AARD	alanine and arginine rich domain containing protein	441376	https://www.ncbi.nlm.nih.gov/gene/?term=441376
CT47A1	CT47A1	cancer/testis antigen family 47, member A1	728096	https://www.ncbi.nlm.nih.gov/gene/?term=728096
KLF17	KLF17	Kruppel like factor 17	128209	https://www.ncbi.nlm.nih.gov/gene/?term=128209
HES3	HES3	hes family bHLH transcription factor 3	390992	https://www.ncbi.nlm.nih.gov/gene/?term=390992
CYS1	CYS1	cystin 1	192668	https://www.ncbi.nlm.nih.gov/gene/?term=192668
RNF44	RNF44	ring finger protein 44	22838	https://www.ncbi.nlm.nih.gov/gene/?term=22838
PUSL1	PUSL1	pseudouridine synthase like 1	126789	https://www.ncbi.nlm.nih.gov/gene/?term=126789
PRSS33	PRSS33	serine protease 33	260429	https://www.ncbi.nlm.nih.gov/gene/?term=260429
KLF14	KLF14	Kruppel like factor 14	136259	https://www.ncbi.nlm.nih.gov/gene/?term=136259
TMEM174	TMEM174	transmembrane protein 174	134288	https://www.ncbi.nlm.nih.gov/gene/?term=134288
REX1BD	REX1BD	required for excision 1-B domain containing	55049	https://www.ncbi.nlm.nih.gov/gene/?term=55049
DMRTB1	DMRTB1	DMRT like family B with proline rich C-terminal 1	63948	https://www.ncbi.nlm.nih.gov/gene/?term=63948
AMELY	AMELY	amelogenin Y-linked	266	https://www.ncbi.nlm.nih.gov/gene/?term=266
PRSS27	PRSS27	serine protease 27	83886	https://www.ncbi.nlm.nih.gov/gene/?term=83886
TIMM29	TIMM29	translocase of inner mitochondrial membrane 29	90580	https://www.ncbi.nlm.nih.gov/gene/?term=90580
MCRIP2	MCRIP2	MAPK regulated corepressor interacting protein 2	84331	https://www.ncbi.nlm.nih.gov/gene/?term=84331
VCX	VCX	variable charge X-linked	26609	https://www.ncbi.nlm.nih.gov/gene/?term=26609
FNDC4	FNDC4	fibronectin type III domain containing 4	64838	https://www.ncbi.nlm.nih.gov/gene/?term=64838
BLOC1S4	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4	55330	https://www.ncbi.nlm.nih.gov/gene/?term=55330
HES2	HES2	hes family bHLH transcription factor 2	54626	https://www.ncbi.nlm.nih.gov/gene/?term=54626
TMEM223	TMEM223	transmembrane protein 223	79064	https://www.ncbi.nlm.nih.gov/gene/?term=79064
LRRC3C	LRRC3C	leucine rich repeat containing 3C	100505591	https://www.ncbi.nlm.nih.gov/gene/?term=100505591
TTC36	TTC36	tetratricopeptide repeat domain 36	143941	https://www.ncbi.nlm.nih.gov/gene/?term=143941
AQP12B	AQP12B	aquaporin 12B	653437	https://www.ncbi.nlm.nih.gov/gene/?term=653437
TGFBR3L	TGFBR3L	transforming growth factor beta receptor 3 like	100507588	https://www.ncbi.nlm.nih.gov/gene/?term=100507588
PANO1	PANO1	proapoptotic nucleolar protein 1	101927423	https://www.ncbi.nlm.nih.gov/gene/?term=101927423
MAGEC1	MAGEC1	MAGE family member C1	9947	https://www.ncbi.nlm.nih.gov/gene/?term=9947
RBMXL2	RBMXL2	RBMX like 2	27288	https://www.ncbi.nlm.nih.gov/gene/?term=27288
CFC1B	CFC1B	cripto, FRL-1, cryptic family 1B	653275	https://www.ncbi.nlm.nih.gov/gene/?term=653275
MXRA7	MXRA7	matrix remodeling associated 7	439921	https://www.ncbi.nlm.nih.gov/gene/?term=439921
MEA1	MEA1	male-enhanced antigen 1	4201	https://www.ncbi.nlm.nih.gov/gene/?term=4201
KHDC1	KHDC1	KH domain containing 1	80759	https://www.ncbi.nlm.nih.gov/gene/?term=80759
CHCHD2P9	CHCHD2P9	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9	645345	https://www.ncbi.nlm.nih.gov/gene/?term=645345
TRNP1	TRNP1	TMF1-regulated nuclear protein 1	388610	https://www.ncbi.nlm.nih.gov/gene/?term=388610
TMEM91	TMEM91	transmembrane protein 91	641649	https://www.ncbi.nlm.nih.gov/gene/?term=641649
EP400P1	EP400P1	EP400 pseudogene 1	347918	https://www.ncbi.nlm.nih.gov/gene/?term=347918
FJX1	FJX1	four-jointed box kinase 1	24147	https://www.ncbi.nlm.nih.gov/gene/?term=24147
OOSP2	OOSP2	oocyte secreted protein 2	219990	https://www.ncbi.nlm.nih.gov/gene/?term=219990
AQP12A	AQP12A	aquaporin 12A	375318	https://www.ncbi.nlm.nih.gov/gene/?term=375318
FAM104A	FAM104A	family with sequence similarity 104 member A	84923	https://www.ncbi.nlm.nih.gov/gene/?term=84923
FAM131C	FAM131C	family with sequence similarity 131 member C	348487	https://www.ncbi.nlm.nih.gov/gene/?term=348487
FBXL8	FBXL8	F-box and leucine rich repeat protein 8	55336	https://www.ncbi.nlm.nih.gov/gene/?term=55336
MYEOV	MYEOV	myeloma overexpressed	26579	https://www.ncbi.nlm.nih.gov/gene/?term=26579
NEURL2	NEURL2	neuralized E3 ubiquitin protein ligase 2	140825	https://www.ncbi.nlm.nih.gov/gene/?term=140825
HGH1	HGH1	HGH1 homolog	51236	https://www.ncbi.nlm.nih.gov/gene/?term=51236
SSBP4	SSBP4	single stranded DNA binding protein 4	170463	https://www.ncbi.nlm.nih.gov/gene/?term=170463
SCAND2P	SCAND2P	SCAN domain containing 2 pseudogene	54581	https://www.ncbi.nlm.nih.gov/gene/?term=54581
NUP62CL	NUP62CL	nucleoporin 62 C-terminal like	54830	https://www.ncbi.nlm.nih.gov/gene/?term=54830
VCX3B	VCX3B	variable charge X-linked 3B	425054	https://www.ncbi.nlm.nih.gov/gene/?term=425054
VCX3A	VCX3A	variable charge X-linked 3A	51481	https://www.ncbi.nlm.nih.gov/gene/?term=51481
PMIS2	PMIS2	PMIS2, transmembrane protein	111216276	https://www.ncbi.nlm.nih.gov/gene/?term=111216276
TLDC2	TLDC2	TBC/LysM-associated domain containing 2	140711	https://www.ncbi.nlm.nih.gov/gene/?term=140711
TMEM82	TMEM82	transmembrane protein 82	388595	https://www.ncbi.nlm.nih.gov/gene/?term=388595
PRR23A	PRR23A	proline rich 23A	729627	https://www.ncbi.nlm.nih.gov/gene/?term=729627
IGLON5	IGLON5	IgLON family member 5	402665	https://www.ncbi.nlm.nih.gov/gene/?term=402665
GLTPD2	GLTPD2	glycolipid transfer protein domain containing 2	388323	https://www.ncbi.nlm.nih.gov/gene/?term=388323
LRRC10B	LRRC10B	leucine rich repeat containing 10B	390205	https://www.ncbi.nlm.nih.gov/gene/?term=390205
RNF227	RNF227	ring finger protein 227	284023	https://www.ncbi.nlm.nih.gov/gene/?term=284023
UPK3BL1	UPK3BL1	uroplakin 3B like 1	100134938	https://www.ncbi.nlm.nih.gov/gene/?term=100134938
TEX22	TEX22	testis expressed 22	647310	https://www.ncbi.nlm.nih.gov/gene/?term=647310
ANKRD63	ANKRD63	ankyrin repeat domain 63	100131244	https://www.ncbi.nlm.nih.gov/gene/?term=100131244
UPK3BL2	UPK3BL2	uroplakin 3B like 2	107983993	https://www.ncbi.nlm.nih.gov/gene/?term=107983993
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
CT47B1	CT47B1	cancer/testis antigen family 47, member B1	643311	https://www.ncbi.nlm.nih.gov/gene/?term=643311
DANCR	DANCR	differentiation antagonizing non-protein coding RNA	57291	https://www.ncbi.nlm.nih.gov/gene/?term=57291
INAFM2	INAFM2	InaF motif containing 2	100505573	https://www.ncbi.nlm.nih.gov/gene/?term=100505573
LINC01547	LINC01547	long intergenic non-protein coding RNA 1547	84536	https://www.ncbi.nlm.nih.gov/gene/?term=84536
PRR20E	PRR20E	proline rich 20E	729250	https://www.ncbi.nlm.nih.gov/gene/?term=729250
PRR20A	PRR20A	proline rich 20A	122183	https://www.ncbi.nlm.nih.gov/gene/?term=122183
KRTAP27-1	KRTAP27-1	keratin associated protein 27-1	643812	https://www.ncbi.nlm.nih.gov/gene/?term=643812
FAM182B	FAM182B	family with sequence similarity 182 member B	728882	https://www.ncbi.nlm.nih.gov/gene/?term=728882
ASPHD1	ASPHD1	aspartate beta-hydroxylase domain containing 1	253982	https://www.ncbi.nlm.nih.gov/gene/?term=253982
TMEM200B	TMEM200B	transmembrane protein 200B	399474	https://www.ncbi.nlm.nih.gov/gene/?term=399474
PRR27	PRR27	proline rich 27	401137	https://www.ncbi.nlm.nih.gov/gene/?term=401137
TMEM53	TMEM53	transmembrane protein 53	79639	https://www.ncbi.nlm.nih.gov/gene/?term=79639
DLEU7	DLEU7	deleted in lymphocytic leukemia 7	220107	https://www.ncbi.nlm.nih.gov/gene/?term=220107
FP248	FP248	Putative chemokine-related protein FP248	101930072	https://www.ncbi.nlm.nih.gov/gene/?term=101930072
ARIH2OS	ARIH2OS	ariadne RBR E3 ubiquitin protein ligase 2 opposite strand	646450	https://www.ncbi.nlm.nih.gov/gene/?term=646450
RBMXL3	RBMXL3	RBMX like 3	139804	https://www.ncbi.nlm.nih.gov/gene/?term=139804
UBALD1	UBALD1	UBA like domain containing 1	124402	https://www.ncbi.nlm.nih.gov/gene/?term=124402
ZNF428	ZNF428	zinc finger protein 428	126299	https://www.ncbi.nlm.nih.gov/gene/?term=126299
LINC00477	LINC00477	long intergenic non-protein coding RNA 477	144360	https://www.ncbi.nlm.nih.gov/gene/?term=144360
FAM25E	FAM25E	family with sequence similarity 25 member E	643479	https://www.ncbi.nlm.nih.gov/gene/?term=643479
PRR33	PRR33	proline rich 33	102724536	https://www.ncbi.nlm.nih.gov/gene/?term=102724536
RNF224	RNF224	ring finger protein 224	643596	https://www.ncbi.nlm.nih.gov/gene/?term=643596
PRR20G	PRR20G	proline rich 20G	100419008	https://www.ncbi.nlm.nih.gov/gene/?term=100419008
PRR20B	PRR20B	proline rich 20B	729233	https://www.ncbi.nlm.nih.gov/gene/?term=729233
TPRXL	TPRXL	tetrapeptide repeat homeobox like	348825	https://www.ncbi.nlm.nih.gov/gene/?term=348825
FAM106A	FAM106A	family with sequence similarity 106 member A	80039	https://www.ncbi.nlm.nih.gov/gene/?term=80039
FAM27D1	FAM27D1	family with sequence similarity 27 member D1	724094	https://www.ncbi.nlm.nih.gov/gene/?term=724094
LCA10	LCA10	lung carcinoma-associated 10	100996465	https://www.ncbi.nlm.nih.gov/gene/?term=100996465
LINC00528	LINC00528	long intergenic non-protein coding RNA 528	200298	https://www.ncbi.nlm.nih.gov/gene/?term=200298
